ID trait COHORT LACTATION DIM
sample_245 300 12 1 2
sample_246 382 12 1 3
sample_247 147 12 1 4
sample_248 413 17 1 3
sample_249 247 17 1 3
sample_250 416 17 1 2
sample_251 308 17 1 2
sample_252 307 17 1 2
sample_253 348 17 1 3
sample_254 343 17 1 2
sample_255 383 17 1 3
sample_256 246 17 1 2
sample_257 353 17 1 1
sample_258 308 17 1 2
sample_259 291 17 1 1
sample_260 429 17 1 2
sample_261 327 17 1 2
sample_262 500 16 1 3
sample_263 309 16 1 2
sample_264 410 16 1 2
sample_265 279 12 1 2
sample_266 379 12 1 2
sample_267 354 12 1 1
sample_268 359 12 1 1
sample_269 197 12 1 2
sample_270 312 12 1 2
sample_271 389 16 1 2
sample_272 323 16 1 2
sample_273 313 16 1 1
sample_274 182 16 1 1
sample_275 298 17 1 2
sample_276 356 17 1 1
sample_277 396 17 1 2
sample_278 277 17 1 2
sample_279 277 17 1 2
sample_280 368 17 1 1
sample_281 332 17 1 1
sample_282 338 17 1 1
sample_283 368 17 1 1
sample_284 326 17 1 1
sample_285 423 12 1 2
sample_286 417 12 1 2
sample_287 301 12 1 1
sample_288 355 12 1 1
sample_289 309 12 1 2
sample_290 322 12 1 1
sample_291 426 12 1 2
sample_292 329 12 1 1
sample_293 347 12 1 1
sample_294 312 12 1 1
sample_295 296 12 1 1
sample_296 320 12 1 1
sample_297 365 16 2 1
sample_298 443 16 2 3
sample_299 549 16 1 4
sample_300 318 16 2 1
sample_301 209 16 2 2
sample_302 320 16 2 2
sample_303 343 16 2 1
sample_304 427 16 2 1
sample_305 310 16 2 2
sample_306 425 16 1 3
sample_307 449 16 1 4
sample_308 248 16 1 4
sample_309 406 16 2 1
sample_310 438 16 1 4
sample_311 463 16 1 4
sample_312 312 16 1 3
sample_313 418 16 1 2
sample_314 387 16 1 3
sample_315 483 16 1 3
sample_316 364 16 1 2
sample_317 338 12 1 1
sample_318 645 16 1 4
sample_319 286 12 1 1
sample_320 224 16 2 1
sample_321 307 17 1 1
sample_322 334 17 1 1
sample_323 255 17 1 1
sample_324 375 17 1 1
sample_325 318 17 1 1
sample_326 337 17 1 1
sample_327 220 17 1 2
sample_328 277 16 1 1
sample_329 386 16 1 2
sample_330 357 1 1 2
sample_331 370 1 1 3
sample_332 492 1 1 3
sample_333 294 1 1 3
sample_334 220 1 1 3
sample_335 328 1 1 3
sample_336 367 1 1 2
sample_337 499 1 1 3
sample_338 434 1 1 2
sample_339 394 1 1 2
sample_340 414 1 1 3
sample_341 316 1 1 2
sample_342 453 1 1 2
sample_343 292 1 1 2
sample_344 363 1 1 2
sample_345 402 1 1 2
sample_346 430 1 1 1
sample_347 462 1 1 2
sample_348 252 16 1 2
sample_349 367 16 1 1
sample_350 262 16 1 1
sample_351 297 13 1 2
sample_352 325 13 1 1
sample_353 356 13 1 2
sample_354 345 13 1 1
sample_355 298 17 1 1
sample_356 322 17 1 3
sample_357 266 10 2 1
sample_358 289 10 2 1
sample_359 331 10 2 1
sample_360 418 10 2 2
sample_361 271 10 2 2
sample_362 308 10 2 3
sample_363 364 10 2 3
sample_364 350 10 2 3
sample_365 303 10 1 4
sample_366 375 10 2 3
sample_367 414 10 2 3
sample_368 374 10 2 3
sample_369 381 10 2 3
sample_370 300 10 1 4
sample_371 277 11 1 3
sample_372 481 11 1 4
sample_373 281 11 1 2
sample_374 351 11 1 4
sample_375 426 11 1 3
sample_376 353 11 1 2
sample_377 340 11 1 3
sample_378 431 11 1 3
sample_379 364 11 1 3
sample_380 391 11 1 3
sample_381 423 11 1 3
sample_382 319 11 1 2
sample_383 403 11 1 2
sample_384 406 11 1 3
sample_385 278 11 1 1
sample_386 242 11 1 2
sample_387 289 11 1 2
sample_388 371 11 1 2
sample_389 291 11 1 1
sample_390 342 11 1 2
sample_391 168 11 1 2
sample_392 362 11 1 2
sample_393 339 11 1 4
sample_394 421 11 1 4
sample_395 478 11 1 3
sample_396 394 11 1 3
sample_397 376 11 1 3
sample_398 452 11 1 3
sample_399 245 2 1 1
sample_400 238 2 1 2
sample_401 282 2 1 2
sample_402 279 2 1 2
sample_403 263 2 1 2
sample_404 193 2 1 2
sample_405 254 2 1 2
sample_406 246 2 1 2
sample_407 257 2 1 3
sample_408 326 2 1 3
sample_409 296 2 1 3
sample_410 229 2 1 3
sample_411 278 2 1 4
sample_412 313 2 2 1
sample_413 336 2 2 2
sample_414 254 2 2 2
sample_415 340 2 2 2
sample_416 353 2 2 3
sample_417 332 2 2 3
sample_418 213 2 2 3
sample_419 370 2 1 1
sample_420 281 11 1 3
sample_421 327 5 1 2
sample_422 361 5 1 3
sample_423 192 5 1 2
sample_424 400 5 1 3
sample_425 328 5 1 2
sample_426 374 5 1 2
sample_427 281 5 1 3
sample_428 407 5 1 2
sample_429 341 5 1 2
sample_430 317 5 1 2
sample_431 343 5 1 2
sample_432 286 5 1 2
sample_433 417 5 1 3
sample_434 311 5 1 2
sample_435 311 5 1 2
sample_436 250 5 1 2
sample_437 472 5 1 3
sample_438 249 5 1 3
sample_439 375 5 1 2
sample_440 285 5 1 2
sample_441 360 5 1 2
sample_442 342 5 1 2
sample_443 366 5 1 1
sample_444 336 5 1 2
sample_445 293 5 1 2
sample_446 289 5 1 2
sample_447 180 5 1 1
sample_448 331 5 1 2
sample_449 283 5 1 2
sample_450 392 5 1 3
sample_451 300 5 1 2
sample_452 366 5 1 3
sample_453 383 5 1 3
sample_454 275 5 1 3
sample_455 352 5 1 2
sample_456 285 5 1 3
sample_457 329 5 1 2
sample_458 458 5 1 2
sample_459 448 8 2 3
sample_460 392 8 2 1
sample_461 504 8 1 3
sample_462 388 8 1 4
sample_463 410 8 1 1
sample_464 241 8 1 2
sample_465 474 8 1 1
sample_466 435 8 1 3
sample_467 415 8 1 3
sample_468 384 8 1 3
sample_469 308 8 1 2
sample_470 414 8 1 3
sample_471 244 8 1 2
sample_472 271 8 1 1
sample_473 208 8 1 4
sample_474 316 8 1 4
sample_475 314 8 1 4
sample_476 291 8 1 4
sample_477 429 8 1 4
sample_478 395 8 1 4
sample_479 900 8 1 4
sample_480 197 8 1 4
sample_481 269 8 1 4
sample_482 163 8 1 4
sample_483 404 8 1 3
sample_484 370 8 1 4
sample_485 436 8 1 4
sample_486 321 8 1 4
sample_487 497 8 1 4
sample_488 511 8 1 4
sample_489 336 8 1 4
sample_490 469 8 1 4
sample_491 415 17 1 1
sample_492 165 8 1 1
sample_493 348 5 1 2
sample_494 362 5 1 2
sample_495 484 15 2 4
sample_496 305 15 2 3
sample_497 378 15 2 4
sample_498 202 15 2 2
sample_499 397 5 1 1
sample_500 276 5 1 2
sample_501 379 12 2 3
sample_502 353 13 1 2
sample_503 332 13 2 3
sample_504 282 13 2 2
sample_505 357 13 2 2
sample_506 415 13 2 3
sample_507 283 13 2 2
sample_508 383 13 2 2
sample_509 234 13 2 2
sample_510 348 13 1 4
sample_511 419 13 1 4
sample_512 465 13 1 4
sample_513 510 13 1 4
sample_514 341 13 1 4
sample_515 312 13 1 3
sample_516 424 13 1 3
sample_517 289 13 1 3
sample_518 414 13 1 3
sample_519 344 13 1 3
sample_520 372 13 1 3
sample_521 289 13 1 3
sample_522 401 13 1 3
sample_523 377 13 1 3
sample_524 320 13 1 2
sample_525 279 13 1 2
sample_526 335 13 1 3
sample_527 274 13 1 3
sample_528 321 13 1 3
sample_529 357 13 1 3
sample_530 245 13 1 2
sample_531 343 13 1 3
sample_532 307 13 1 3
sample_533 381 13 1 3
sample_534 337 13 1 2
sample_535 364 13 1 2
sample_536 666 6 3 4
sample_537 392 3 3 4
sample_538 259 4 2 1
sample_539 439 3 3 1
sample_540 440 1 1 4
sample_541 350 1 2 2
sample_542 328 1 2 1
sample_543 573 1 2 2
sample_544 440 1 2 2
sample_545 504 1 2 2
sample_546 334 1 2 2
sample_547 313 1 2 1
sample_548 448 1 1 4
sample_549 344 1 2 1
sample_550 319 1 2 2
sample_551 392 1 2 1
sample_552 395 1 2 1
sample_553 407 1 2 1
sample_554 502 1 2 1
sample_555 486 1 1 4
sample_556 482 17 1 3
sample_557 229 15 2 2
sample_558 341 15 2 1
sample_559 419 15 2 2
sample_560 417 15 2 2
sample_561 407 15 2 1
sample_562 340 15 2 1
sample_563 480 15 2 2
sample_564 406 15 1 1
sample_565 423 15 1 1
sample_566 490 15 1 1
sample_567 285 3 1 1
sample_568 356 3 1 1
sample_569 397 3 1 1
sample_570 339 7 1 1
sample_571 377 7 1 1
sample_572 384 7 1 1
sample_573 342 7 1 1
sample_574 408 13 1 1
sample_575 375 13 1 1
sample_576 315 13 1 1
sample_577 348 13 1 1
sample_578 383 13 1 1
sample_579 366 13 1 1
sample_580 381 13 1 1
sample_581 375 13 1 1
sample_582 331 3 1 1
sample_583 389 2 1 2
sample_584 309 2 1 2
sample_585 405 5 3 4
sample_586 538 5 1 4
sample_587 322 12 4 3
sample_588 422 12 4 2
sample_589 358 12 4 2
sample_590 363 12 4 2
sample_591 386 12 4 2
sample_592 385 12 3 2
sample_593 365 12 3 3
sample_594 346 12 3 3
sample_595 283 12 3 2
sample_596 293 12 3 2
sample_597 353 12 2 4
sample_598 242 12 2 3
sample_599 318 7 1 3
sample_600 312 7 1 3
sample_601 294 7 1 2
sample_602 287 7 1 3
sample_603 304 7 1 3
sample_604 440 7 1 3
sample_605 252 7 1 3
sample_606 345 7 1 3
sample_607 195 7 1 3
sample_608 283 7 1 2
sample_609 318 7 1 2
sample_610 402 7 1 3
sample_611 364 7 1 3
sample_612 393 7 1 3
sample_613 444 7 1 3
sample_614 277 7 1 3
sample_615 269 7 1 2
sample_616 363 7 1 3
sample_617 317 7 1 3
sample_618 296 7 1 3
sample_619 387 7 1 3
sample_620 437 7 1 3
sample_621 331 7 1 3
sample_622 310 7 1 2
sample_623 327 7 1 2
sample_624 337 7 1 3
sample_625 362 7 1 3
sample_626 277 7 1 2
sample_627 362 7 1 3
sample_628 470 7 1 3
sample_629 454 7 1 3
sample_630 363 7 1 3
sample_631 314 7 1 3
sample_632 265 7 1 3
sample_633 355 7 1 4
sample_634 301 7 1 3
sample_635 294 7 1 3
sample_636 424 7 1 3
sample_637 393 7 1 4
sample_638 347 7 1 3
sample_639 433 7 1 3
sample_640 447 7 1 4
sample_641 296 7 1 3
sample_642 265 3 2 3
sample_643 467 3 2 2
sample_644 278 3 2 2
sample_645 318 7 1 3
sample_646 367 7 1 3
sample_647 388 7 1 3
